page,list_index,room_id,name,address,visibility,weekly_price,rent_weekly,rent_weekly_number,deposit,deposit_number,maintenance_weekly,maintenance_weekly_number,maintenance_included,maintenance_description,cleaning_fee,cleaning_fee_number,long_term_discount_raw,immediate_move_in_discount_raw,refund_policy
1,0,109699,천호역 5분 복층,서울특별시 강동구 천호동 452-15 미사 아름채아파트 13층 1310,공개,"360,000원","360,000",360000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다.,"50,000",50000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 2만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",보통
1,1,102988,강동역1.5룸 B16,서울특별시 강동구 천호동 560-2 더하임 10층 1006호,공개,"350,000원","350,000",350000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",강한
1,2,102987,강동역1.5룸 B15,서울특별시 강동구 천호동 560-2 더하임 10층 1005호,공개,"280,000원","280,000",280000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",보통
1,3,102985,강동역1.5룸 B14,서울특별시 강동구 천호동 560-2 더하임 10층 1004호,공개,"300,000원","300,000",300000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",보통
1,4,101921,미사역 원룸 I1,경기도 하남시 망월동 1135 미사역마이움푸르지오 8층 804호,공개,"320,000원","320,000",320000,"330,000원",330000,"120,000",120000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함되어 있습니다.,"50,000",50000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 4주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",약한
1,5,101292,길동 원룸 C6,서울특별시 강동구 길동 387-5 길동청광플러스원큐브1차 13층 1303,공개,"240,000원","240,000",240000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 3주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 2만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 2만 원 할인 7일 이내 입주 시 1만 원 할인 1주 관리비 원 / 1주",보통
1,6,101049,송파 오금 H52,서울특별시 송파구 오금동 133-13 스타팰리스 5층 502호,공개,"180,000원","180,000",180000,"330,000원",330000,"50,000",50000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 3주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 2만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 2만 원 할인 7일 이내 입주 시 1만 원 할인 1주 관리비 원 / 1주",약한
1,7,100564,초특가 강동 원룸 D6,서울특별시 강동구 길동 415-16 청광플러스원큐브3차 14층 1412,공개,"280,000원","280,000",280000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 5주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",약한
1,8,100428,강동역 1.5룸 B55,서울특별시 강동구 천호동 560-2 더하임 5층 505호,공개,"300,000원","300,000",300000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",보통
1,9,100427,강동천호 풀옵션 B54,서울특별시 강동구 천호동 560-2 더하임 5층 504,공개,"280,000원","280,000",280000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",보통
2,0,100422,길동역 성심병원 D7,서울특별시 강동구 길동 415-16 청광플러스원큐브3차 14층 1416,공개,"420,000원","420,000",420000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 5주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",약한
2,1,99694,"가산, 독산 원룸 L1",서울특별시 금천구 가산동 143-6 3층 328호,공개,"200,000원","200,000",200000,"330,000원",330000,"60,000",60000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"70,000",70000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,2,99692,2룸2화1다이닝_M2,인천광역시 계양구 작전동 392-1 계양 우림카이저팰리스 3층 203동 308호,공개,"330,000원","330,000",330000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,3,99690,올림픽 공원 성내 G3,서울특별시 강동구 성내동 548-4 에스아이팰리스 센트럴성내 6층 602호,공개,"280,000원","280,000",280000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,4,96146,V12 대치동 학원가,서울특별시 강남구 대치동 916-38 1층 102,공개,"550,000원","550,000",550000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 4주 이상 계약 시 10% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 5일 이내 입주 시 3만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 5일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",강한
2,5,96144,V11 대치 학원투룸,서울특별시 강남구 대치동 916-38 1층 101호,공개,"750,000원","750,000",750000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",강한
2,6,94502,V13 대치동 아늑방,서울특별시 강남구 대치동 916-38 1층 103호,공개,"450,000원","450,000",450000,"330,000원",330000,"90,000",90000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금이 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",강한
2,7,92286,계양 2룸 풀옵션,인천광역시 계양구 작전동 386-15 벧엘하이츠빌라 2층 202호,공개,"100,000원","100,000",100000,"330,000원",330000,"120,000",120000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비가 청구됩니다,"120,000",120000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,8,92284,작전동 3룸2화,인천광역시 계양구 작전동 392-1 계양 우림카이저팰리스 12층 101동 1204호,공개,"380,000원","380,000",380000,"330,000원",330000,"50,000",50000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함되어 있습니다. 포함된 항목을 과도하게 사용하는 경우 추가 관리비를 요청할 수 있습니다.,"50,000",50000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",약한
2,9,91762,강동역 1.5룸 B46,서울특별시 강동구 천호동 560-2 더하임 4층 406,공개,"380,000원","380,000",380000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 3일 이내 입주 시 3만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",강한
3,0,90691,강동역 1.5룸 B64,서울특별시 강동구 천호동 560-2 더하임 6층 604호,공개,"280,000원","280,000",280000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",보통
3,1,90066,서울역 특가 2룸 L5,서울특별시 중구 만리동1가 35-2 하람휴 11층 1001호,공개,"600,000원","600,000",600000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. (주차비 제외) 전기와 가스를 과도하게 사용할 경우 퇴실 후 추가요금이 청구될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스 수도",보통
3,2,88922,3월특가 2룸 U34,서울특별시 강동구 천호동 167-160 3층 성우 304호,공개,"400,000원","400,000",400000,"330,000원",330000,"80,000",80000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. 과도한 공과금은 청구 될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",강한
3,3,88901,강동역 2룸 U51,서울특별시 강동구 천호동 167-160 5층 성우 501호,공개,"400,000원","400,000",400000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. 과도한 공과금은 청구 될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",강한
3,4,88745,신림동 2룸,서울특별시 관악구 신림동 408-46 가온빌 2층 102호,공개,"200,000원","200,000",200000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금 포합입니다.,"50,000",50000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 1만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 1만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",보통
3,5,88290,강동역 1.5룸 B76,서울특별시 강동구 천호동 560-2 더하임 3층 306,공개,"380,000원","380,000",380000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 3주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",약한
3,6,88289,강동역 2베드 B56,서울특별시 강동구 천호동 560-2 더하임 5층 506,공개,"380,000원","380,000",380000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다.,"80,000",80000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 3주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",약한
3,7,83771,강동역 2룸 U31,서울특별시 강동구 천호동 167-160 3층 성우 301호,공개,"400,000원","400,000",400000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. 과도한 공과금은 청구 될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 2주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 오늘 이내 입주 시 3만 원 할인 7일 이내 입주 시 2만 원 할인 1주 관리비 원 / 1주",강한
3,8,83484,서울역 3월특가 L2,서울특별시 중구 만리동1가 35-2 하람휴 9층 하람휴 902호,공개,"600,000원","600,000",600000,"330,000원",330000,"100,000",100000,"{""가스"":""포함"",""수도"":""포함"",""전기"":""포함""}",모든 공과금은 관리비에 포함됩니다. (주차비 제외) 전기와 가스를 과도하게 사용할 경우 퇴실 후 추가요금이 청구될 수 있습니다.,"100,000",100000,"장기 계약 할인 예시 2주 이상 계약 시, 5% 할인 제공 4주 이상 계약 시 5% 할인 즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비","즉시 입주 할인 예시 오늘부터 1일 이내 입주 시, 3만 원 할인 제공 7일 이내 입주 시 1만 원 할인 1주 관리비 원 / 1주 삼삼엠투는 관리비 정산을 대행하지 않으므로, 평소 관리비를 고려하여 관리비 설정을 추천드립니다. 관리비 포함 항목 가스",보통
